FROM_INCIDENT_ID	TO_INCIDENT_ID
986957	697706
334369	479222
378606	479222
697706	479222
986957	479222
986957	378606
334369	378606
697706	378606
479222	378606
697706	334369
378606	334369
479222	334369
986957	334369
479222	986957
697706	986957
334369	986957
378606	986957
697706	334369
697706	479222
697706	378606
697706	986957
479222	697706
479222	986957
479222	334369
479222	378606
378606	479222
378606	334369
378606	697706
378606	986957
334369	479222
334369	378606
334369	697706
334369	986957
986957	378606
986957	479222
986957	697706
169019	572880
572880	169019
891002	314604
644757	314604
314604	891002
644757	891002
891002	644757
644757	314604
314604	891002
314604	644757
891002	644757
891002	314604
644757	891002
314604	644757
108481	988504
988504	321319
108481	988504
988504	108481
108481	321319
988504	108481
988504	321319
108481	321319
449840	618489
449840	618489
900410	280349
280349	900410
275560	499090
275560	499090
499090	275560
499090	275560
280478	957323
280478	957323
424088	957323
280478	424088
280478	920327
424088	920327
541253	920327
280478	541253
424088	541253
424088	280478
424088	280478
424088	541253
424088	957323
424088	920327
541253	957323
541253	920327
280478	424088
280478	541253
280478	920327
541253	957323
898839	010967
125512	868774
125512	217852
010967	217852
898839	217852
868774	217852
010967	125512
868774	125512
898839	125512
217852	125512
217852	010967
125512	010967
010967	898839
010967	125512
010967	217852
010967	868774
217852	868774
217852	010967
217852	898839
217852	125512
125512	217852
125512	898839
125512	010967
868774	010967
308266	947247
691196	947247
308266	691196
947247	691196
947247	308266
947247	691196
691196	308266
691196	947247
264010	549047
264010	549047
149839	066248
149839	066248
066248	149839
066248	149839
061105	365057
365057	061105
927718	505026
928201	505026
068405	505026
927718	360201
216308	360201
928201	360201
068405	360201
505026	360201
360201	216308
927718	216308
928201	216308
505026	216308
068405	216308
928201	927718
360201	927718
216308	927718
505026	927718
068405	927718
360201	928201
927718	928201
216308	928201
505026	928201
068405	928201
216308	068405
928201	068405
360201	068405
927718	068405
505026	068405
505026	928201
505026	927718
505026	216308
505026	068405
505026	360201
360201	216308
360201	928201
360201	068405
360201	505026
360201	927718
216308	068405
216308	505026
216308	360201
216308	927718
216308	928201
927718	360201
927718	216308
927718	928201
927718	068405
927718	505026
928201	068405
928201	927718
928201	216308
928201	360201
928201	505026
068405	216308
068405	360201
068405	928201
068405	927718
360201	505026
068405	505026
216308	505026
973538	318099
318099	193758
973538	193758
973538	193758
973538	318099
318099	193758
895319	053787
886411	053787
439218	053787
137919	053787
678505	053787
439218	053787
053787	678505
967472	053787
967472	678505
137919	053787
137919	678505
895319	053787
895319	678505
886411	053787
886411	678505
439218	678505
967472	053787
580669	764540
864355	764540
580669	864355
864355	764540
580669	764540
580669	864355
193453	630730
193453	630730
873247	630544
630544	873247
630544	873247
873247	630544
871867	721599
721599	871867
721599	233530
233530	721599
233530	721599
871867	233530
721599	233530
233530	871867
638691	272965
094704	811843
811843	094704
811843	094704
094704	811843
923578	118490
852620	319566
200123	319566
319566	852620
200123	852620
319566	852620
852620	200123
319566	200123
852620	200123
852620	319566
200123	319566
200123	852620
319566	200123
248854	017588
248854	017588
068940	796137
068940	796137
796137	068940
796137	068940
760331	660567
950067	566291
950067	660567
660567	566291
950067	566291
760331	566291
566291	760331
660567	760331
950067	760331
950067	760331
950067	660567
660567	566291
660567	760331
566291	760331
566291	660567
760331	660567
760331	566291
566291	660567
003688	383467
003688	663520
003688	663520
003688	383467
605053	168440
168440	605053
605053	168440
168440	605053
162365	570556
537977	570556
537977	884866
162365	884866
570556	884866
537977	162365
570556	162365
162365	884866
884866	570556
570556	537977
162365	537977
884866	537977
884866	162365
162365	537977
162365	570556
884866	162365
537977	162365
537977	884866
537977	570556
570556	162365
570556	884866
570556	537977
884866	537977
884866	570556
379887	817321
817321	379887
379887	817321
817321	379887
260818	389711
389711	260818
335836	836255
197850	747375
197850	836255
747375	836255
159785	747375
836255	747375
335836	747375
197850	747375
836255	335836
747375	335836
159785	335836
197850	335836
335836	159785
197850	159785
747375	159785
836255	159785
747375	197850
836255	197850
335836	197850
159785	197850
836255	335836
836255	197850
836255	747375
836255	159785
747375	197850
747375	335836
747375	159785
747375	836255
335836	159785
335836	836255
335836	197850
335836	747375
159785	747375
159785	836255
159785	335836
159785	197850
197850	159785
197850	836255
197850	335836
159785	836255
725375	029944
029944	725375
879656	938010
879656	183004
879656	178188
183004	879656
178188	879656
938010	879656
399926	507619
379013	879231
879231	879231
379013	879231
067083	099680
067083	973709
067083	132014
973709	067083
250475	067083
099680	067083
132014	067083
067083	250475
827658	566101
827658	028515
827658	036334
827658	041981
827658	282737
827658	850559
